ref	kind	state	detail
refs/remotes/atomicstar/dependabot/cargo/keccak-hash-0.12.0	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/dependabot/cargo/libp2p-0.54.1	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/dependabot/cargo/lsp-types-0.97.0	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/dependabot/cargo/ndarray-0.17.2	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/dependabot/cargo/petgraph-0.8.3	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/dependabot/cargo/priority-queue-2.7.0	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/dependabot/cargo/rand_chacha-0.9.0	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/dependabot/cargo/solana-program-5.0.0	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/dependabot/cargo/tokio-tungstenite-0.30.0	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/dependabot/cargo/tower-0.5.3	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/dependabot/npm_and_yarn/apps/inferstructor-dashboard/npm_and_yarn-fa0e04ea13	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/develop	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/gh-pages	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/main	atomicstar-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/atomicstar/rc1-clean-foundation	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/sprint-0/foundation/kernel-audit	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/substrate-upgrade-stable2603	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
